,Class,News
30,2,brazilian unit finnish security solutions provider fsecure signed new clients year online news source reseller web quoted division s commercial director vladimir brando saying
31,2,company s net profit rose year million euros sales million euros year company said earlier
32,2,lithuanian beer market million liters january rise percent yearearlier figure lithuanian brewers association reporting citing results members
33,2,viking line s cargo revenue increased eur mn cargo volume increased cargo units
34,2,fair value property portfolio doubled result kapiteeli acquisition totalled eur million
35,2,february finnish media company sanoma oyj hel saav said yesterday net profit tripled eur m eur m announced proposal raised payout
36,2,helsinki eliiv today reported eps eur increase eps eur
37,2,aspo plc stock exchange release february esl shipping aspo group signed new longterm contract rautaruukki corporation marine transport raw materials baltic sea
38,2,commission income increased eur mn lending volume rose
39,2,january traffic measured revenue passenger kilometres rpk went capacity measured available seat kilometres ask rose
40,2,januaryseptember fiskars net profit went yearonyear eur million net sales eur million eur million
41,2,net income life insurance rose eur mn eur mn net income nonlife insurance eur mn eur mn
42,2,nyrstar agreed supply talvivaara tonnes sulphuric acid annum use talvivaara s leaching process period supply zinc concentrate
43,2,sales department store division hobby hall increased sales clothing store subsidiary seppala decreased
44,2,sales risen export markets
45,2,sales increased growing market rates increased operations
46,2,agreement strengthens longterm partnership nokia siemens networks
47,2,agreement signed biohit healthcare ukbased subsidiary biohit oyj finnish public company develops manufactures markets liquid handling products diagnostic test systems
48,2,company estimates carried investments lead increase net sales reached eur million
49,2,company s order book stood bln euro bln september pct year international orders amounting mln euro mln
50,2,company said paper demand increased main markets including publication papers increased average paper prices percent compared year
51,2,world s second largest stainless steel maker said net profit threemonth period dec surged euro million million euro share euro million euro share previous year
52,2,framework partnership nokia siemens networks signed initial framework purchase agreement sitronics subsidiary jsc mikron largest manufacturer exporter microelectronic components russia
53,2,seppala s revenue increased eur m finland revenue went eur m sales abroad rose eur m sales increased baltic countries russia ukraine
54,2,shares standard chartered stan rose ftse royal bank scotland rbs shares rose barclays shares barc bcs
55,2,shares nokia corp rose thursday cell phone maker said thirdquarter earnings doubled share global handset market increased
56,2,financial report published friday seb said net profit soared sek bn yearearlier sek bn proposed dividend increase sek share
57,2,sales department store division increased sales clothing store subsidiary seppala increased sales hobby hall decreased
58,1,request finnish media company alma media s newspapers research manager jari kaivooja finland futures research centre turku school economics drawn future scenario finland s national economy using model developed university denver
59,1,sweden gallerix accumulated sek denominated sales eur denominated sales
60,1,company supports global customers developing new technologies offers fast route product development applications volume production
61,1,investment place atria plans expand moscow market
62,1,new agreement continuation theagreement signed earlier year lemminkainen group cramo acquired entire construction machine fleet oflemminkainen talo oy ita ja pohjois suomo signed asimilar agreement said tatu hauhio managing director ofcramo finland
63,2,contract envisaged construction ferryboats option units confirmed total value mln euro mln
64,1,june sold percent stake nordstjernan investment group taken option acquire eqt s remaining shares
65,2,kesko corporation stock exchange release kesko corporation aspo plc today signed agreement aspo acquires share capital kaukotelko subsidiary wholly owned kesko
66,2,sponda plc stock exchange release december eur billion syndicated credit facility sponda sponda signed agreement oneyear syndicated credit facility total eur billion
67,1,stock exchange announcement july basware share subscriptions warrants increase share capital total shares subscribed basware warrant program
68,2,contract covers hdo platform ac cxe optical fttb nodes designed increase forward return path capacity transmission networks
69,1,new plant planned electricity generation capacity megawatts mw heat generation capacity
70,2,omx helsinki index pct helsinki cap portfolio index pct higher
71,1,sales growth cars considerably influence tires market
72,1,maximum new shares subscribed exercising b options stock option plan
73,1,result share issue number company s shares increases shares share capital total eur
74,1,finnish real estate investor sponda plc said wednesday march signed agreements danske bank helsinki branch year eurm credit facility ilmarinen mutual pension insurance company year eurm credit facility
75,1,route helsinki finland tallinn estonia cargo volumes increased cargo volumes finland sweden fell
76,1,measures included increasing synergies economies scale grimaldi group personnel adjustments divestments redelivery excess tonnage
77,2,rinkuskiai raised sales percent million liters sales kauno alus grew percent liters
78,1,telecomworldwire april tj group plc sells stake morning digital design oy finnish company tj group plc said friday april signed agreement selling shares morning digital design oy edita oyj
79,2,telecomworldwire april tj group plc sells stake morning digital design oy finnish company tj group plc said friday april signed agreement selling shares morning digital design oy edita oyj
80,1,new series shares subject trading helsinki stock exchange s main list old series shares july
81,1,fuel purchase contracts signed months delivery september november
82,1,tiimari operates stores countries including core finnish market generated turnover mln eur
83,2,agreement biohit focus supplier pipettors disposable pipettor tips vwr customers europe
84,2,combination services enabling offer complex strengthened service chain limited baltic port connections getting access world wide grimaldi network mediterranean africa north america says uwe bakosch
85,1,blindspots coming vantage point allows investigators story high resolution unbroken video
86,2,company expects turnover slightly increase level adding market predictability poor trustworthy forecasts market development contract manufacturing business current year
87,2,acquisition considerably increase kemira s sales market position russian metal industry coatings market
88,2,januaryseptember finnlines net sales rose eur mn eur mn corresponding period
89,2,adjusted changes group structure division s net sales increased
90,2,change optimize operational efficiencies growing business said julia prohaska director marketing communications fiskars
91,2,invest physical infrastructure provide knowhow managing developing science technology parks said sunrise valley director andrius bagdonas
92,2,february finnish broadband data communication systems provider teleste oyj hel tltv saw net profit jump eur m quarter eur period
93,2,finnish aktia group s operating profit rose eur mn quarter eur mn quarter
94,2,finnish bank land s consolidated net operating profit increased eur mn quarter eur mn quarter
95,2,finnish financial group aktia reports operating profit eur mn januaryseptember eur mn corresponding period
96,2,finnish high technology provider vaahto group reports net sales eur mn accounting period september february increase year earlier
97,2,net sales finnish food industry company lænnen tehtaat s continuing operations increased eur mn eur mn
98,2,individual promotion generated slightly higherthanexpected revenues
99,2,biohit services current genesis customers customer base expected expand result agreement
100,2,operating profit turnover threemonth period increased respectively eur m eur m compared corresponding period
101,2,circulation revenue increased finland sweden
102,2,clothing chain seppælæ s net sales increased eur mn
103,2,construction volumes grow rate percent annually
104,2,finnish swedish construction markets experiencing estimated annual growth
105,2,biohit estimates total net sales continue grow favourable trends net sales lead profit
106,2,fiskars cash flow operating activities amounted eurm eurm previous year
107,2,lithuania operating profit rose eur eur corresponding period
108,2,fourth quarter net sales increased eur mn eur mn fourth quarter
109,2,international sales rose eur mn
110,1,kalmar espana generated net sales mln euro mln
111,2,net sales grew period xac million million xac million
112,2,net sales increased eurm april june eurm year earlier
113,2,net sales rose yearonyear eur m number chargers delivered went million pieces
114,2,net sales totaled eur mn eur mn corresponding period
115,2,nokia noted average selling price handsets declined period mobile phone profit margin rose percent percent yearago quarter
116,2,operating profit increased eur mn eur mn
117,2,operating profit margin increased
118,2,operating profit rose eur mn eur mn corresponding period
119,2,operating profit rose eur mn eur mn fourth quarter
120,2,operating profit eur mn eur mn
121,2,ramirent s net sales second quarterended june euro million million percent increase compared euro million thesecond quarter year
122,2,revenue grew percent xac million million xac million
123,2,ruukki announced signed agreement aker solutions norway supply suction anchors september kalajoki unit finland
124,2,ruukki s delivery volumes selling prices showed favourable development company s comparable net sales grew yearonyear eurm ceo sakari tamminen said
125,2,sanoma magazines net sales estimated grow
126,2,bank forecasts finland s gdp grow
127,2,circuit s overall production rate weekly basis excess average tonnes day volumes excess tonnes day reached individual days
128,2,company s consolidated operating profit amounted eur mn eur mn yearonyear
129,2,department store division reported increase sales cent
130,2,fair value company s investment properties grew eur billion end march eur million year ago
131,2,quarter best quarter net sales operating margin rose
132,2,major breweries increased domestic beer sales cent year million litres million litres
133,2,transaction doubles tecnomens workforse adds fourth net sales
134,2,operating profit rose eur million
135,2,purchase cramo second largest rental services provider latvian market
136,2,priority strengthen company s balance sheet increase cash flow ceo hannu krook said
137,2,purchase operations yit s strategy expand offering building services geographically
138,2,october finnish fishing tackle company rapala vmc corp hel rapv said today net profit rose eur m months eur m period year earlier
139,1,structures bim building information modeling software tekla modelbased software provider adopted construction management delivery university project abu dhabi
140,2,according finnish metso minerals value company s orders gone eur bn months
141,2,finnish aldata solution signed contract supply gold french retail chains
142,2,finnish bank land reports operating profit rose eur mn second quarter eur mn corresponding period
143,2,finnish financial group aktia s operating profit increased eur mn eur mn
144,2,finnish forest machinery manufacturer ponsse s net sales grew eur mn quarter eur mn corresponding period
145,2,finnish kci konecranes raised net sales growth estimate
146,2,finnish okmetic manufactures processes silicon wafers semiconductor sensor industries norwegian solar wafer company norsun signed contract okmetic supply norsun mono silicon crystals use solar cell manufacturing
147,2,finnish pharmaceuticals company orion s net sales rose eur mn quarter eur mn quarter
148,2,finnish ponsse signed agreement babcock africa distribution support ponsse forest machines harvester heads information systems south africa
149,2,south african sappi largest foreign forest industry company operating finland result acquisition finnish mreal corporation s graphic papers business unit
150,2,according deputy md pekka silvennoinen aim double turnover years
151,2,according hkscan finland plan increase jærvisuomen portti s net sales eur mn eur mn
152,2,advertising circulation revenues grew respectively
153,2,takeover cramo second largest rental services provider latvian market
154,2,significant sales increase russia
155,2,alma media expects net sales increase forecast previously
156,2,lemminkæinen s profit accounting period went eur mn eur mn year ago
157,2,end march group s order book eur mn corresponding period
158,2,time profit company increased h reached ls
159,1,aviation systems maintenance based kansas generated net sales usd million
160,2,increased share meat various sausages offering number new tastes grill products shish kebabs segment paavel said
161,2,operating profit net sales month period increased respectively eur m eur m compared financial year
162,2,operating profit net sales month period increased respectively eur m eur m compared financial year
163,2,operating profit net sales month period increased respectively eur m eur m compared
164,2,operating profit net sales month period increased respectively eur m eur m compared
165,2,operating profit net sales ninemonth period increased respectively compared corresponding period
166,2,operating profit net sales sixmonth period increased respectively eur m eur m compared corresponding period
167,2,operating profit net sales sixmonth period increased respectively eur m eur m compared corresponding period
168,2,operating profit net sales sixmonth period increased respectively eur m eur m compared corresponding period
169,2,operating profit net sales sixmonth period increased respectively eur m eur m compared corresponding period
170,2,operating profit net sales threemonth period increased respectively eur m eur m compared corresponding period
171,2,operating profit net sales threemonth period increased respectively eur m eurm compared corresponding quarter
172,2,operating profit sales threemonth period increased respectively eur m eur m compared corresponding period
173,2,operating profit turnover ninemonth period increased respectively eur m eur m compared corresponding period year ago
174,2,operating profit turnover sixmonth period increased respectively eur m eur m compared corresponding period
175,2,operating profit turnover sixmonth period increased respectively eur m eur m compared corresponding period year ago
176,2,cargo volume grew
177,2,cargo volume increased approximately
178,2,comparable operating profit totaled eur mn eur mn
179,2,digia said consolidated net sales januaryjune eur m period eur m
180,2,diluted earnings share eps rose eur eur
181,2,diluted earnings share eps rose eur versus eur
182,2,diluted earnings share eps rose eur eur
183,2,diluted earnings share eps rose eur eur
184,2,diluted eps rose eur eur
185,2,ebit margin
186,1,editor s note grimaldi generated bln euro bln turnover ansa reported
187,2,eps quarter eur compared eur quarter representing group net sales quarter eur m compared eur m quarter
188,2,eps continuing operations came eur
189,2,equity ratio compared quarter net sales frozen foods business totaled eur quarter
190,2,eur q finnish textile clothing design company marimekko oyj hel mmov said today net profit rose eur quarter eur corresponding period year earlier
191,2,finlandbased elcoteq se privately held provider electronics manufacturing services communications companies said thursday signed longterm manufacturing supply deal communications equipment company andrew corp
192,2,finnish cutlery hand tools maker fiskars oyj abp hel fisas said today net profit rose eur million usd m quarter eur million year earlier
193,2,finnish department store chain stockmann oyj abp net profit rose mln euro mln months mln euro mln period
194,2,finnish lifting equipment maker konecranes oyj said july net profit rose mln euro mln half mln euro mln period
195,2,finnish messaging solutions developer tecnomen corporation omx helsinki temv said thursday december received expansion order convergent charging solution latin america
196,2,finnish metal industry solutions supplier outotec oyj net profit rose mln euro mln months mln euro mln period
197,2,finnish metal products company componenta oyj net profit rose mln euro mln quarter mln euro mln period
198,2,finnish office supplies computer accessories dealer belttongroup plc said net profit rose mln euro mln mln euro mln
199,2,finnish security privacy software solutions developer stonesoft oyj said january preliminary sales stonegate products grew pct yearonyear mln euro mln fourth quarter
200,2,finnish silicon wafer technology company okmetic oyj omx helsinki okmv reported thursday august operating profit eur m period januaryjune eur m corresponding period
201,2,finnish software developer solutions oyj said net profit increased mln euro mln mln euro mln
202,2,quarter underlying operating profit rose mln eur mln year earlier
203,2,following acquisition relacom strengthen presence finland serving operators office market mobile fixed networks construction installation maintenance services
204,2,months company s net profit rose eurm eurm corresponding period
205,2,helsinki afx retail wholesale group kesko reported net sales mln eur february increase pct yearonyear
206,2,net sales seen grown eur m eur m
207,2,sales returned growth apriljune ceo pekka eloholma said
208,2,ragutis controlled finnish brewery reported percent rise beer sales million litres held percent market share
209,2,svyturysutenos alus controlled nordic group baltic beverages holding bbh posted percent growth beer sales januarymay million litres
210,1,contempus generated revenue nok approx
211,2,addition kone signed twoyear maintenance contract escalators
212,2,december members lithuanian brewers association sold total million liters beer increase percent sales million liters december
213,2,januaryseptember group s net income increased eur mn eur mn januaryseptember
214,2,q bank land s net income increased eur mn eur mn
215,2,sweden operating profit period review totaled eur mn corresponding period
216,2,fourth quarter orion s net profit went yearonyear eurm
217,2,second quarter group s net profit rose eur million eur million apriljune
218,2,second quarter group s net profit rose eur m eur m apriljune
219,2,quarter net sales increased yearonyear eur million comparable currency rates growth
220,2,quarter net sales increased yearonyear eur m comparable currency rates growth
221,1,incap estimates generate revenue mln euro mln indian operations
222,2,market share widened percent percent year earlier
223,1,total annual revenue comes mln zloty mln mln euro
224,2,kesko agro eesti retailer wholesaler grain agricultural warehousing machinery accessories net sales million euros increase onetenth preceding year
225,2,kesko s car import retailing business vvauto saw sales grow pct
226,2,kone s net sales rose yearonyear months
227,2,adp news feb finnish management software solutions provider ixonos oyj hel xnsv said today net profit rose eur million usd m eur million
228,2,adp news feb finnish solutions provider affecto oyj hel afev said today net profit rose eur million usd m eur million
229,2,adp news feb finnish fishing tackle company rapala vmc corp hel rapv said today net profit rose eur million usd m eur million
230,2,adp news nov finnish electronic measurement products solutions maker vaisala oyj omx vaias said today net profit rose eur million usd m months eur
231,2,adp news oct finnish lifting equipment maker konecranes oyj omx kcrv said today net profit rose eur million usd m months eur million s
232,2,metso expects net sales increase comparable exchange rates
233,1,mreal generated turnover eur bn employees
234,2,neste oil corp signed longterm procurement contracts honkajoki oy findest protein oy owned finnish food manufacturers supply animal fat biodiesel production neste s bcd porvoo finland refinery
235,2,net income increased eur mn eur mn
236,2,net income eur mn eur mn
237,2,net income eur mn eur mn
238,2,net sales vegetable oil business rose eur mn eur mn
239,2,nokia multimedia s net sales totaled eur bn corresponding period
240,2,operating income rose eur mn eur mn
241,2,operating profit kauppalehti group rose eur mn eur mn marketplaces eur mn eur mn quarter
242,2,operating profit rose eur mn eur mn
243,2,operating profit rose mln eur mln
244,2,operating profit rose eur mn eur mn corresponding period
245,2,operating profit rose eur mn eur corresponding period
246,2,operating profit rose eur mn eur mn corresponding period
247,2,operating profit rose eur mn eur mn corresponding period
248,2,operating profit rose eur mn eur mn
249,2,operating profit rose eur mn eur mn corresponding period
250,2,operating profit rose eur mn eur mn
251,2,operating profit rose eur mn eur mn
252,2,operating profit rose eur mn eur mn corresponding period
253,2,operating profit rose eur m eur m year earlier
254,2,operating profit surged eurm eur
255,2,operating profit totaled eur mn slightly eur mn corresponding period
256,2,operating profit totaled eur mn eur mn
257,2,operating profit eur mn eur mn
258,2,operating profit eur mn eur mn
259,2,order intake grew yearonyear yearonyear respectively eur million eur billion respective januaryseptember julyseptember periods
260,2,orders received grew yearonyear eurm
261,2,orion pharma s operating profit increased
262,2,passenger volumes rose accounting period
263,2,passengerrelated revenue rose eur mn eur mn
264,2,press release october ruukki signed contract deliver install steel structures bridge kyronsalmi strait savonlinna finland
265,2,pretax profit rose eur mn eur mn corresponding period
266,2,pretax profit rose eur mn eur corresponding period
267,2,pretax profit rose eur mn eur mn
268,2,pretax profit totaled eur mn eur mn
269,2,previously company guided ebit sales growth pct pct respectively year
270,2,previously company estimated operating profit reach level
271,2,profit period totaled eur mn eur mn corresponding period
272,2,profit period eur mn eur mn
273,2,profit period eur mn eur mn
274,2,revenue grew percent xac billion billion
275,2,revenue july september grew percent euro million year earlier company said thursday
276,2,revenues time grew percent million euros
277,2,ruukki signed contract deliver install steel structures bridge kyronsalmi strait savonlinna finland
278,2,sales latin america increased eur mn total mn mobile devices sold area representing increase corresponding period
279,2,sales clothing developed best
280,2,sanoma magazines finland s net sales grew eur mn eur mn
281,2,satama s net profit quarter rose euro euro period
282,2,section regional news demand finnair s asian traffic measured passenger kilometers august compare year
283,2,svyturysutenos alus controlled nordic group baltic beverages holding bbh posted percent growth beer sales januaryseptember million liters
284,2,increase estimated sales million year
285,2,agreement expands tekla structures scope use bridge design
286,2,aim increase sales fifth
287,2,chain posted sales million euros rise percent yearonyear
288,2,company expects net sales increase
289,2,company expects net sales half reach previous year s level
290,2,company process building new fleet placed orders pmax tankers dwt
291,2,company s operating income ebit totalled eur mn eur mn yearonyear
292,2,eps outlook increased pct pct
293,2,fair value investment properties totaled eur mn eur mn
294,2,finnish government announced wednesday sold percent stake chemicals fertilizer group kemira oyj xac million million sending company s share price percent
295,1,firm generated sales mln eur
296,2,german company signed code share agreement oneworld member american airlines usbased amr corp nyse amr
297,2,helsinkibased company owns salomon atomic suunto brands said net profit rose percent months dec xac million million xac million year earlier
298,2,increase capital stock registered finnish trade register november
299,2,operating profit grain trading increased eur mn eur mn
300,2,stock rose second day wednesday bringing twoday rise gbx
301,2,stock rose day tuesday bringing threeday rise gbx
302,2,transaction line aspo s strategy expand baltic sea region eastern markets
303,2,transactions increase earnings share quarter eur
304,2,recovery base metals prices increased demand metals china
305,2,new representation extends comptel s global presence total countries serving customers countries worldwide
306,2,tietoenator uses nokia s intellisync mobile suite s wireless email calendar device management capabilities company extend services customers
307,2,total operating revenue grew yearonyear eurm
308,2,vacon s cash flow operations grew eur mn eur mn year ago
309,1,vacon supply drives ruselprom power range kw mw
310,2,strengthen existing partnership cybercom says teleste cto esko myllyla
311,2,satlan acquisition teleste plans expand market presence video services partner cable operators broadcasters iptv service providers
312,2,acquisition company expand offering north central south america said
313,2,extension new contract engines plant produce mw said
314,2,yit says acquisition strategy expansion central eastern european markets
315,2,basware s product sales grew strongly financial period percent
316,2,second quarter firstquarter growth net sales quarter said magnus rosen ramirent ceo
317,2,transaction strengthens position design branded goods said fiskars president ceo heikki allonen pointing groups relatively overlapping operations
318,2,february finnish textile clothing company marimekko oyj hel mmov said today preliminary operating profit grew eur m eur m
319,1,finnish componenta published new longterm strategy period aim growing customers
320,2,finnish larox signed contract talvivaara project delivery filters talvivaara nickel sotkamo finland
321,2,affecto expects net sales increase level reached eur million
322,2,cash flow operations rose eur mn eur mn
323,2,commission income rose eur mn eur mn
324,2,componenta s objective agreement increase business existing production lines
325,2,earnings share januaryjune eur increase yearonyear eur
326,2,earnings share eps rose eur eur
327,2,elisa said mobile subscriptions grew percent mainly customers adopting socalled generation mobile technology
328,2,eps quarter came eur eur year ago ahead forecast eur
329,2,eps grew eur eur
330,2,exports grew percent million liters
331,2,finnish investment group panostaja oyj said net profit went mln euro mln fiscal ended october mln euro mln period fiscal
332,2,finnish metal components supplier componenta oyj said net profit went mln euro mln mln euro mln
333,2,finnish silicon wafer technology company okmetic oyj omx helsinki okmv reported thursday october operating profit eur m januaryseptember eur m corresponding period
334,2,fiskars brands report net sales eur mn eur mn
335,2,geosentric oyj s geosolutions business unit gypsii mobile digital lifestyle application geomobility social networking platform signed agreement nanjing mynet make gypsii mobile social networking platform available customers china mobile
336,2,helsinki afx outokumpu technology said signed mln eur agreement mongolia s erdenet mining corporation engineering hydrocopper plant built erdenet site
337,2,proportion paid standing orders grew
338,2,addition demand finland export lining stone products increased
339,2,januaryseptember group s net sales continuing operations rose eur mn eur mn corresponding period
340,2,julyseptember yit s net sales increased eur mn compared eur mn corresponding period
341,2,reporting period net sales rose yearonyear eur m business acquisitions realized half effect eur m review period
342,2,reporting period company s operating profit grew eur million
343,2,year s net sales rose eur million eur million
344,2,year company raised turnover approximately million litas eur mln million litas
345,2,adp news nov finnish ac drives manufacturer vacon oyj omx vacv said today set new representative offices romania ukraine serve growing markets eastern southeastern europe
346,2,marimekko group s fullyear net sales estimated increase
347,2,net sales surged eur million
348,2,net sales went yearonyear eur million affected business acquisitions realized previous financial period effect eur million review period
349,2,market share rose percent percent year earlier
350,2,nokia world s largest mobile phone manufacturer china postel china s largest mobile phone distributor longstanding partnership continues grow stronger time
351,2,octoberdecember sales mln eur pct increase year year
352,2,olvi controls percent stake ragutis le coq said annual report published earlier year lithuanian brewery s sales reached million euros year rise percent million euros
353,2,olvi expects sales market share increase quarter
354,1,olvi s target strengthen market share soft drinks mineral waters ciders long drinks energy drinks
355,2,operating profit increased eur mn eur mn corresponding period
356,2,operating profit asian plants grew markedly
357,2,operating profit totaled eur mn eur mn
358,2,operating profit totalled eur mn eur mn yearonyear
359,2,production capacity increase tonnes year raw material continue recycled paper board
360,2,profit period increased eur mn eur mn
361,2,profit share eur eur
362,2,return capital employed rose percentage points
363,2,revenue july september grew percent euro billion finnish company said thursday
364,2,revenue grew percent euro million million euro million
365,2,ruukki s order book end yearonyear quarteronquarter
366,2,ruukki signed contract norwegian company veidekke entreprenor
367,2,sales finland rose international growth
368,2,sales security packaging increased slightly
369,2,stora enso s thirdquarter pretax profit doubled eur mn
370,2,strongest growth seen new markets russia czech republic slovakia
371,2,airline ordered airbus aircraft deliveries doing lead airline latest variant rollsroyce trent series engines called
372,2,company intensifying smelter operations increasing annual production capacity tonnes copper
373,2,company s market share continued increase
374,2,company s scheduled traffic measured revenue passenger kilometres rpk grew just nearly passengers carried scheduled flights february
375,2,company said investments new market areas resulted sales increase sweden poland russia lithuania
376,2,disposal autotank strengthen aspo s capital structure commented gustav nyberg ceo aspo
377,2,earnings share quarter came eur eur quarter year earlier
378,2,economic occupancy rate sponda s property portfolio rose
379,2,finnish supplier bssoss vas telecom operators tecnotree received expansion orders worth total mn convergent charging generation messaging solutions latin america company announced specifying operators placed orders
380,2,group s month operating profit grew percent million euros
381,2,growth activeness talentum s customers started end continued reporting period company stated
382,2,growth net sales half compared half
383,2,pretax profit group s life insurance business increased eur million eur million
384,2,pretax profit group s life insurance business increased eurm eurm
385,2,total delivery volume paper businesses tonnes tonnes
386,2,value firm s forestry holdings increased sek bn
387,2,new deal strengthened partnership telemig celular tecnomen started beginning telemig s prepaid operations
388,2,turnover rose eurm eurm
389,2,xerox stora enso teamed tailor igen shortrun ondemand packaging market
390,2,yit construction town riihimæki signed lease contract town occupy travel centre office facilities
391,2,upgrade intended raise network capacity mhz mhz cities enabling bidirectional services digital television broadband data
392,1,finnish company stockmann signed contract company technopolis
393,1,according notice skandinaviska enskilda banken ab publ helsinki branch august divested total alma media shares ilkkayhtyma oyj kaleva kustannus oy conditions agreement companies july fulfilled
394,1,previously announced geosentric oyj entered financing agreements lead investor june enabling company receive financing aggregate m
395,1,time market automated liquid handling devices larger pipettes according biohit
396,1,efore s ceo reijo maihaniemi said company developed delivered power supply units respective systems based technology chinese sector company zte corp
397,1,finnish talvivaara mining hel tlvv said thursday picked bofa merrill lynch jpmorgan nyse jpm joint bookrunners planned issue convertible notes worth eurm usdm
398,2,lead production turn increase tonnes twofold increase current capacity levels zahariev said
399,1,lemminkainen oyj said signed credit agreements nordea bank sto nda pohjola bank hel pohs sampo bank hel samas svenska handelsbanken sto shb
400,1,pohjola increase stake
401,1,scandic feed diversify tosno s product portfolio
402,2,separately yit corporation austrian firm e ag week signed agreement sale e s building service business germany austria poland czech republic hungary romania eur mln
403,1,agreement jm series contracts teliasonera signed recent months residential construction real estate management companies sweden
404,2,company intends raise production capacity
405,1,estimated value contract eur m vaisala headquartered helsinki finland develops manufactures electronic measurement systems meteorology environmental sciences traffic industry
406,1,mall baltic pearl development project city st petersburg baltic pearl cjsc subsidiary shanghai foreign joint investment company developing homes people
407,1,new facility known technopolis pulkovo introduce russian market entirely new concept creating operating growing commerciallyfunded science technology park support growth knowledgeintensive companies
408,2,company expand offering north central south america
409,2,members partners use apparent increased efficiency results service observes perttu puro tradeka
410,1,vacon controls company investment fund power fund eur usd
411,1,order included wartsila s order book second quarter company added
412,1,management decided end increase cathode copper capacity
413,1,complete shareholder otto henrik bernhard nyberg information shares transferred corresponds total number shares aspo plc
414,1,data processing unit collects data calculates rvr values provides data users various interfaces
415,0,tinyurl link takes users scamming site promising users earn thousands dollars google nasdaq goog cash advertiser
416,1,alexandria va march pertti salmi hanna vuolteenaho oulu finland sami viitasaari ii finland developed ornamental design handset patent trademark office announced
417,1,alexandria va oct markka oksanen harald kaaja helsinki finland juha salokannel kangasala finland arto palin viiala finland developed providing communications security
418,1,earlier reported nokian tyres building plant town vsevolozhsk russia s leningrad region annual production capacity million tires
419,1,biohit expanded mline family pipettors addition new ml volume range
420,1,capman finnish alternative asset manager acquisition helsinkifocused vehicle real estate fund fund bought sevenstory office built underwent refurbishment end s
421,0,compared ftse index rose points day relative price change
422,1,compared ftse index rose points day relative price change
423,0,compared ftse index rose points day relative price change
424,1,deliveries start later volume increase years
425,2,finland s nokian tyres kazakhstan s ordabasy corporation signed agreement build plant astana produce car tires ordabasy chairman dinmukhamet idrisov said press conference
426,2,finnish business software group affectogenimap oyj said signed agreement acquire shares swedish sector company intellibis ab mln euro mln debtfree basis
427,1,finnish heatretaining fireplaces maker tulikivi oyj said august local tiled stoves utility ceramics subsidiary kermansavi oy merge tulikivi means absorption order streamline latest s corporate structure
428,2,finnish silicon wafers manufacturer okmetic oyj said june signed agreement nordea bank finland plc local subsidiary swedish commercial bank nordea bank ab refinance okmetic s syndicated bank facility amounts mln euro mln
429,2,furthermore bunge sign licensing agreement sunnuntai carlshamn mejeri brands
430,1,german commerzbank ag s hamburg branch jp morgan nyse jpm participated arrangers dutch ing ams inga coarranger
431,1,april neste separated parent company finnish energy company fortum listed helsinki stock exchange
432,1,russia raisio s food division s home market stretches way vladivostok
433,2,september finnish group agreed buy danish company rose poultry eur m combination cash stock
