Class,News,News
positive,TeliaSonera TLSN said the offer is in line with its strategy to increase its ownership in core business holdings and would strengthen Eesti Telekom 's offering to its customers .,Teliasonera TLSN said that the offer was in accordance with its strategy aimed at increasing its property in Core Business Holdings and would strengthen the Eestic Telekom offer to its customers.
positive,"STORA ENSO , NORSKE SKOG , M-REAL , UPM-KYMMENE Credit Suisse First Boston ( CFSB ) raised the fair value for shares in four of the largest Nordic forestry groups .","Stora Enso, Norske Skog, M-Real, UPM-Kymmene Credit Switzerland First Boston (CFSB) increased the fair value of actions in four of the largest Nordic forest groups."
positive,"A purchase agreement for 7,200 tons of gasoline with delivery at the Hamina terminal , Finland , was signed with Neste Oil OYj at the average Platts index for this September plus eight US dollars per month .","A purchase agreement for 7,200 tonnes of gasoline with delivery to the Hamina terminal in Finland was signed with Nest Oil Oyj in the average dish index for in September plus eight dollars per month."
positive,"Finnish Talentum reports its operating profit increased to EUR 20.5 mn in 2005 from EUR 9.3 mn in 2004 , and net sales totaled EUR 103.3 mn , up from EUR 96.4 mn .","Finnish Talentum reports that its operating profit increased to EUR 20.5 minutes in 2005 compared to 9.3 mins in 2004, and net sales totaled 103.3 minutes, against 96.4 mn."
positive,"Clothing retail chain Sepp+Æl+Æ 's sales increased by 8 % to EUR 155.2 mn , and operating profit rose to EUR 31.1 mn from EUR 17.1 mn in 2004 .","Sales of the retail chain of sale of SEPP + æl + æ clothes increased by 8% to 155.2 mins, and operating profit increased to 31.1 mins compared to 17.1 mins in 2004."
positive,"Consolidated net sales increased 16 % to reach EUR74 .8 m , while operating profit amounted to EUR0 .9 m compared to a loss of EUR0 .7 m in the prior year period .","Consolidated net sales increased by 16% to 74.8 million euros, while operating profit amounted to 0.9 million euros compared to a loss of 0.7 m from EUR During the period of the previous year."
positive,"Foundries division reports its sales increased by 9.7 % to EUR 63.1 mn from EUR 57.5 mn in the corresponding period in 2006 , and sales of the Machine Shop division increased by 16.4 % to EUR 41.2 mn from EUR 35.4 mn in the corresponding period in 2006 .","The Foundries division reports that its sales increased by 9.7% to 63.1 MN EUR, against 57.5 minutes EUR during the corresponding period in 2006, and sales of the machining workshop division have Increased from 16.4% to 41.2 MN EUR against 35.4 MN EUR during the corresponding period in 2006."
positive,"HELSINKI ( AFX ) - Shares closed higher , led by Nokia after it announced plans to team up with Sanyo to manufacture 3G handsets , and by Nokian Tyres after its fourth-quarter earnings report beat analysts ' expectations , dealers said .","Helsinki (AFX) - The actions closed above, led by Nokia after having announced his intention to team up with Sanyo to make 3G handsets, and by Nokian tires after his report on the results of the fourth quarter, the expectations of analysts have declared the dealers."
positive,"Incap Contract Manufacturing Services Pvt Ltd , a subsidiary of Incap Corporation of Finland , plans to double its revenues by 2007-2008 .","Incap Contract Manufacturing Services PVT LTD, a subsidiary of Intap Corporation of Finland, plans to double its income by 2007-2008."
positive,"Its board of directors will propose a dividend of EUR0 .12 per share for 2010 , up from the EUR0 .08 per share paid in 2009 .","Its board of directors will propose a dividend of 0.12 EUR per share for 2010, against 0.08 EUR per share paid in 2009."
positive,"Lifetree was founded in 2000 , and its revenues have risen on an average by 40 % with margins in late 30s .",LifeTree was founded in 2000 and its income increased on average by 40% with margins in the late 1930s.
positive,"( Filippova ) A trilateral agreement on investment in the construction of a technology park in St Petersburg was to have been signed in the course of the forum , Days of the Russian Economy , that opened in Helsinki today .","(Filippova) A trilateral agreement on investment in the construction of a technological park in Saint Petersburg was to be signed during the forum, days of the Russian economy, which opened its doors in Helsinki today."
positive,"MegaFon 's subscriber base increased 16.1 % in 2009 to 50.5 million users as of December 31 , while its market share by the number of customers amounted to 24 % as of late 2009 , up from 23 % as of late 2008 , according to TeliaSonera estimates .","The base of Megafon subscribers increased from 16.1% in 2009 to 50.5 million users on December 31, while its market share by the number of customers amounted to 24% at the end of 2009, Against 23% at the end of 2008, according to Teliasonera estimates."
positive,"Net income from life insurance doubled to EUR 6.8 mn from EUR 3.2 mn , and net income from non-life insurance rose to EUR 5.2 mn from EUR 1.5 mn in the corresponding period in 2009 .","The net profit of life insurance has doubled at 6.8 minutes of euros against 3.2 minutes EUR, and the net profit of non-life insurance increased to 5.2 minutes of euros against 1, 5 minutes at the corresponding period in 2009."
positive,Net sales increased to EUR193 .3 m from EUR179 .9 m and pretax profit rose by 34.2 % to EUR43 .1 m. ( EUR1 = USD1 .4 ),"Net sales increased to 193 meters of euros, compared to 179.9 m and the before tax profit increased by 34.2% to 43 .1 m. (EUR1 = USD1 .4)"
positive,"Net sales surged by 18.5 % to EUR167 .8 m. Teleste said that EUR20 .4 m , or 12.2 % , of the sales came from the acquisitions made in 2009 .","Net sales jumped 18.5% to 167.8 m. Teleste said that 20.4 million euros, or 12.2%from sales came from acquisitions made in 2009."
positive,Nordea Group 's operating profit increased in 2010 by 18 percent year-on-year to 3.64 billion euros and total revenue by 3 percent to 9.33 billion euros .,The operating profit of the Nordea group increased in 2010 by 18% in annual sliding to 3.64 billion euros and a total turnover of 3% to 9.33 billion euros.
positive,"Operating profit for the nine-month period increased from EUR13 .6 m , while net sales increased from EUR394 .7 m , as compared to the corresponding period in 2005 .","The operating profit for the nine -month period has increased compared to 13.6 million euros, while net sales increased by 394.7 million euros, compared to the corresponding period in 2005."
positive,"Operating profit for the nine-month period increased from EUR3 .1 m and net sales increased from EUR61 .5 m , as compared to the corresponding period in 2007 .","The operating profit for the nine -month period increased from 3.1 M euros and net sales increased by 61.5 m euros, compared to the corresponding period in 2007."
positive,"Operating profit for the three-month period increased from EUR1 .2 m , while revenue increased from EUR20 .2 m , as compared to the corresponding period in 2005 .","The operating profit for the three -month period has increased compared to 1 0.2 M euros, while income has increased compared to 20.2 million euros, compared to the corresponding period in 2005 ."
positive,"The Brazilian unit of Finnish security solutions provider F-Secure signed up 1,500 new clients last year , online news source Reseller Web quoted the division 's commercial director , Vladimir Brand+_o , as saying .","The Brazilian unit of the supplier of Finnish security solutions F-School scored 1,500 new customers last year, the web of the reseller of the online information source cited the commercial director of the division, Vladimir Brand + _o , said."
positive,"The company 's net profit rose 11.4 % on the year to 82.2 million euros in 2005 on sales of 686.5 million euros , 13.8 % up on the year , the company said earlier .","The company's net profit increased by 11.4% over the year to 82.2 million euros in 2005 on sales of 686.5 million euros, 13.8% over the year, announced society earlier."
positive,"The Lithuanian beer market made up 14.41 million liters in January , a rise of 0.8 percent from the year-earlier figure , the Lithuanian Brewers ' Association reporting citing the results from its members .","The Lithuanian beer market represented 14.41 million liters in January, an increase of 0.8% compared to the figure of the year, the Lithuanian Brewers' Association reporting the results of its members."
positive,"Viking Line 's cargo revenue increased by 5.4 % to EUR 21.46 mn , and cargo volume increased by 2.4 % to 70,116 cargo units .","The turnover of the Viking line increased by 5.4% to 21.46 minutes, and the volume of freight increased by 2.4% to 70,116 loading units."
positive,"The fair value of the property portfolio doubled as a result of the Kapiteeli acquisition and totalled EUR 2,686.2 1,259.7 million .","The fair value of the goods portfolio doubled following the acquisition of Kapiteeli and totaled 2,686.2 1,259.7 million euros."
positive,10 February 2011 - Finnish media company Sanoma Oyj HEL : SAA1V said yesterday its 2010 net profit almost tripled to EUR297 .3 m from EUR107 .1 m for 2009 and announced a proposal for a raised payout .,"February 10, 2011 - Finnish media company Sanoma Oyj Hel: SAA1V said yesterday that its net profit in 2010 almost tripped to 297 0.3 m from 107.1 M euros for 2009 and announced an increased payment proposal ."
positive,"A Helsinki : ELIiV today reported EPS of EUR1 .13 for 2009 , an increase over EPS of EUR1 .12 in 2008 .","In Helsinki: Eliiv today declared a BPA of 1,0.13 EUR for 2009, an increase compared to BPA of EUR 1,0.12 in 2008."
positive,"Aspo Plc STOCK EXCHANGE RELEASE February 11 , 2011 at8 .45 a.m. ESL Shipping Ltd , part of Aspo Group , has signed a new , long-term contract with Rautaruukki Corporation for the marine transport of raw materials on the Baltic Sea .","ASPO PLC Stock Exchange Release February 11, 2011 AT8 .45 A.M.MIS ESL Shipping Ltd, which is part of the ASPO group, has signed a new long -term contract with RAUTARUUKKI Corporation for the marine transport of raw materials on the Baltic Sea."
positive,"Commission income increased by 22 % to EUR 4.4 mn , and lending volume rose by 13.5 % .",Commission revenues increased by 22% to 4.4 minutes and the volume of loans increased by 13.5%.
positive,"In January , traffic , measured in revenue passenger kilometres RPK , went up by 3.2 % and capacity , measured in available seat kilometres ASK , rose by 12.2 % .","In January, traffic, measured in kilometers of income passengers, RPK, increased by 3.2% and the capacity, measured in the available kilometers, increased by 12.2%."
positive,"In January-September 2010 , Fiskars ' net profit went up by 14 % year-on-year to EUR 65.4 million and net sales to EUR 525.3 million from EUR 487.7 million .","In January-September 2010, Fiskars net profit increased by 14% in annual sliding to 65.4 million euros and net sales to 525.3 million euros, compared to 487.7 million euros."
positive,"Net income from life insurance rose to EUR 16.5 mn from EUR 14.0 mn , and net income from non-life insurance to EUR 22.6 mn from EUR 15.2 mn in 2009 .",The net profit of life insurance increased to 16.5 minutes compared to EUR 14.0 minutes and the net profit of non-life insurance at 22.6 min of EUR 15.2 min in 2009.
positive,"Nyrstar has also agreed to supply to Talvivaara up to 150,000 tonnes of sulphuric acid per annum for use in Talvivaara 's leaching process during the period of supply of the zinc in concentrate .","Nyrstar also agreed to provide Talvivaara up to 150,000 tonnes of sulfuric acid per year for use in the Talvivaara leachate process during the concentrated zinc supply period."
positive,"Sales for both the Department Store Division and Hobby Hall increased by 7 % , while sales for the clothing store subsidiary Seppala decreased by 4 % .","Sales of the department stores and Hobby Hall division increased by 7%, while sales of the Seppala clothing store subsidiary decreased by 4%."
positive,Sales have risen in other export markets .,Sales have increased on other export markets.
positive,Sales increased due to growing market rates and increased operations .,Sales have increased due to the growth in market rates and the increase in operations.
positive,The agreement strengthens our long-term partnership with Nokia Siemens Networks .,The agreement strengthens our long -term partnership with Nokia Siemens Networks.
positive,"The agreement was signed with Biohit Healthcare Ltd , the UK-based subsidiary of Biohit Oyj , a Finnish public company which develops , manufactures and markets liquid handling products and diagnostic test systems .","The agreement was signed with Biohit Healthcare LTD, the British subsidiary of Biohit Oyj, a Finnish public company that develops, manufactures and markets liquid management and diagnostic systems."
positive,The company also estimates the already carried out investments to lead to an increase in its net sales for 2010 from 2009 when they reached EUR 141.7 million .,The company also estimates investments already made to lead to an increase in its net sales for 2010 from 2009 when they reached 141.7 million euros.
positive,"The company 's order book stood at 1.5 bln euro $ 2.2 bln on September 30 , 2007 , up by 24.2 pct on the year , with international orders amounting to 365 mln euro $ 534.3 mln .","The company's order book has been 1.5 BLN Euro $ 2.2 BLN on September 30, 2007, up 24.2 pct over the year, with international orders amounting to 365 mln Euro $ 534.3 MLN."
positive,"The company said that paper demand increased in all of its main markets , including of publication papers , and that it increased average paper prices by 4 percent compared with last year .","The company said that the request for documents had increased on all its main markets, including publication documents, and that it increased average paper prices from 4% compared to last year."
positive,"The world 's second largest stainless steel maker said net profit in the three-month period until Dec. 31 surged to euro603 million US$ 781 million , or euro3 .33 US$ 4.31 per share , from euro172 million , or euro0 .94 per share , the previous year .","The second largest stainless steel manufacturer in the world said that net profit during the three -month period until December 31 increased to 603 million euros $ 781 million, or euro. Share, the previous year."
positive,"Within the framework of the partnership , Nokia Siemens Networks has signed an initial framework purchase agreement with Sitronics subsidiary , JSC Mikron , which is the largest manufacturer and exporter of microelectronic components in Russia .","As part of the partnership, Nokia Siemens Networks signed an initial framework purchase contract with the Sitronics subsidiary, JSC Mikron, which is the largest manufacturer and exporter of microelectronic components in Russia."
positive,"Seppala 's revenue increased by 0.2 % to EUR10 .1 m. In Finland , revenue went down by 2.4 % to EUR6 .8 m , while sales abroad rose by 6.2 % to EUR3 .3 m. Sales increased in all the Baltic countries as well as in Russia and Ukraine .","Seppala's income increased by 0.2% to 10.1 m. In Finland, income fell 2.4% to 6.8 million euros, while sales abroad increased by 6.2% to 3.3 m euros. Sales have increased in all Baltic countries as well as in Russia and Ukraine."
positive,"Shares of Standard Chartered ( STAN ) rose 1.2 % in the FTSE 100 , while Royal Bank of Scotland ( RBS ) shares rose 2 % and Barclays shares ( BARC ) ( BCS ) were up 1.7 % .","Standard Chartered (Stan) shares increased 1.2% in FTSE 100, while the shares of the Royal Scotland Bank (RBS) increased by 2% and Barclays (Barc) shares (BCS) increased by 1.7%."
positive,Shares of Nokia Corp. rose Thursday after the cell phone maker said its third-quarter earnings almost doubled and its share of the global handset market increased .,The actions of Nokia Corp. increased Thursday after the mobile phone manufacturer said that his profits in the third quarter had almost doubled and that his world's combined market share had increased.
positive,"In its financial report , published on Friday , SEB said its net profit soared to SEK6 .745 bn in 2010 from a year-earlier SEK1 .114 bn and proposed a 50 % dividend increase to SEK1 .50 per share .","In its financial report, published on Friday, Seb said that its net profit climbed to 6.745 billion SEK in 2010 from a year SEK1 .114 BN and proposed a dividend increase of 50% to 1 SEK .50 stock."
positive,Sales for the Department Store Division increased by 15 % and sales for the clothing store subsidiary Seppala increased by 8 % Meanwhile sales for Hobby Hall decreased by 12 % .,Sales of the department store division increased by 15% and sales of the septala clothing store subsidiary increased by 8% while Hobby Hall sales decreased by 12%.
neutral,"At the request of Finnish media company Alma Media 's newspapers , research manager Jari Kaivo-oja at the Finland Futures Research Centre at the Turku School of Economics has drawn up a future scenario for Finland 's national economy by using a model developed by the University of Denver .","At the request of the newspapers of the Finnish media company Alma Media, research director Jari Kaivo-Oja at the Funutures Research Center of Turku School of Economics has established a future scenario for the national economy of Finland using a model Developed by the University of Denver."
neutral,"In Sweden , Gallerix accumulated SEK denominated sales were down 1 % and EUR denominated sales were up 11 % .","In Sweden, Gallerix has accumulated sales denominated in Sek down 1% and sales made in EUR increased by 11%."
neutral,The company supports its global customers in developing new technologies and offers a fast route from product development to applications and volume production .,The company supports its global customers in the development of new technologies and offers a rapidly developing product development for applications and production of volumes.
neutral,"When this investment is in place , Atria plans to expand into the Moscow market .","When this investment is in place, Attia plans to develop on the Moscow market."
neutral,"`` The new agreement is a continuation to theagreement signed earlier this year with the Lemminkainen Group , whereby Cramo acquired the entire construction machine fleet ofLemminkainen Talo Oy Ita - ja Pohjois Suomo , and signed asimilar agreement , '' said Tatu Hauhio , managing director ofCramo Finland .","`` The new agreement is a continuation of the show signed earlier this year with the Lemminkainen group, by which Cramo acquired the whole fleet of the construction machine of the asimular agreement, ""said Tatu Hahio, Managing Director of OFCRAMO , Ofcramo. Finland."
positive,"At first the contract envisaged the construction of three ferryboats with an option for two more units , further confirmed at a total value of 500 mln euro ( $ 645.8 mln ) .","At the beginning, the contract envisaged the construction of three boats on board with an option for two other units, also confirmed at a total value of 500 MLN Euro ($ 645.8)."
neutral,"In June it sold a 30 percent stake to Nordstjernan , and the investment group has now taken up the option to acquire EQT 's remaining shares .","In June, he sold a 30% stake in Nordstjernan, and the investment group has now taken the opportunity to acquire EQT's remaining shares."
positive,"KESKO CORPORATION STOCK EXCHANGE RELEASE 28.02.2008 AT 09.30 1 ( 1 ) Kesko Corporation and Aspo plc today signed an agreement by which Aspo acquires the share capital of Kauko-Telko Ltd , a subsidiary wholly owned by Kesko .","Kesko Corporation Stock Exchange Version 28.02,2008 to 09.30 1 (1) Kesko Corporation and Aspo Plc signed today an agreement by which Aspo acquires the share capital of Kauko-Telko Ltd, a group subsidiary entirely owned by Kesko."
positive,Sponda Plc Stock Exchange Release 5 December 2006 at 15.45 EUR 1.5 BILLION SYNDICATED CREDIT FACILITY FOR SPONDA Sponda has signed an agreement for a one-year syndicated credit facility for a total of EUR 1.5 billion .,"Sponda PLC Bourse Release December 5, 2006 to 15.45 1.5 billion union credit for Sponda Sponda signed an agreement for a one -year -old syndicated credit facility for a total of 1.5 billion euros."
neutral,STOCK EXCHANGE ANNOUNCEMENT 20 July 2006 1 ( 1 ) BASWARE SHARE SUBSCRIPTIONS WITH WARRANTS AND INCREASE IN SHARE CAPITAL A total of 119 850 shares have been subscribed with BasWare Warrant Program .,"Announcement of the scholarship July 20, 2006 1 (1) Subscriptions to Basware sharing with mandates and an increase in share capital in total of 119,850 shares were taken out on the Basware mandate program."
positive,"The contract covers HDO platform , AC800 and CXE880 optical Fttb nodes designed to increase the forward and return path capacity of the transmission networks .","The contract covers the HDO platform, the FTTB AC800 and CXE880 optical nodes designed to increase the capacity of the forward and the return path of the transmission networks."
neutral,The new plant is planned to have an electricity generation capacity of up to 350 megawatts ( MW ) and the same heat generation capacity .,The new factory should have an electricity production capacity of up to 350 megawatts (MW) and the same heat production capacity.
positive,"The OMX Helsinki 25 index was up 0.92 pct at 2,518.67 and the Helsinki CAP portfolio index was 0.91 pct higher at 4,711.19 .","The OMX Helsinki 25 index was up 0.92 pct at 2,518.67 and the HELSINKI CAP portfolio was 0.91 pct higher at 4,711.19."
neutral,"- So , the sales growth of cars considerably influence on the tires market '' .","- Thus, the growth in sales of cars considerably influences the tire market ''."
neutral,"A maximum of 666,104 new shares can further be subscribed for by exercising B options under the 2004 stock option plan .","A maximum of 666,104 new actions can also be subscribed by exercising B options as part of the 2004 action option plan."
neutral,"As a result of the share issue , the number of the company 's shares increases by 391,630 shares and the share capital by a total of EUR 15,665.20 .","Following the issue of shares, the company's number of shares increased by 391,630 shares and the actions capital of a total of EUR 15,665.20."
neutral,"Finnish real estate investor Sponda Plc said on Wednesday 12 March that it has signed agreements with Danske Bank A-S , Helsinki Branch for a 7-year EUR150m credit facility and with Ilmarinen Mutual Pension Insurance Company for a 7-year EUR50m credit facility .","Finnish real estate investor Sponda PLC said on Wednesday March 12 that he had signed agreements with Danske Bank A-S, a Helsinki branch for 7-year credit facility of $ 150 million and with the insurance company- Ilemarinen mutual pension for a credit ease of 50 million euros."
neutral,"On the route between Helsinki in Finland and Tallinn in Estonia , cargo volumes increased by 36 % , while cargo volumes between Finland and Sweden fell by 9 % .","On the route between Helsinki in Finland and Tallinn in Estonia, freight volumes increased by 36%, while freight volumes between Finland and Sweden dropped by 9%."
neutral,"Other measures included increasing synergies and economies of scale within the Grimaldi Group and personnel adjustments , divestments and redelivery of excess tonnage .","Other measures included increasing synergies and economies of scale within the Grimaldi group and the adjustments of the staff, divests and the restart of the excess tonnage."
positive,"Rinkuskiai raised the sales by 18.1 percent , to 1.37 million liters , while the sales of Kauno Alus grew by 14.3 percent , to 960,000 liters .","Rinkuskiai increased sales by 18.1%to 1.37 million liters, while Kauno Alus sales increased by 14.3%, to 960,000 liters."
neutral,TELECOMWORLDWIRE-7 April 2006-TJ Group Plc sells stake in Morning Digital Design Oy Finnish IT company TJ Group Plc said on Friday 7 April that it had signed an agreement on selling its shares of Morning Digital Design Oy to Edita Oyj .,"Telecomworldwire-April 7, 2006-TJ Group PLC sells participation in Morning Digital Design Oy Finnish It Company TJ Group PLC PLC PLC Friday April 7 that she had signed an agreement on the sale of her actions as Morning Digital Design Oy in Edita Oyj."
positive,TELECOMWORLDWIRE-7 April 2006-TJ Group Plc sells stake in Morning Digital Design Oy Finnish IT company TJ Group Plc said on Friday 7 April that it had signed an agreement on selling its shares of Morning Digital Design Oy to Edita Oyj .,"Telecomworldwire-April 7, 2006-TJ Group PLC sells participation in Morning Digital Design Oy Finnish It Company TJ Group PLC PLC PLC Friday April 7 that she had signed an agreement on the sale of her actions as Morning Digital Design Oy in Edita Oyj."
neutral,"The 718,430 new Series A shares will become subject to trading on the Helsinki Stock Exchange 's Main List , together with the old Series A shares , on July 3 , 2006 .","The 718,430 new A series A shares will become submitted to negotiations on the main list of the Helsinki Stock Exchange, as well as the former A shares series on July 3, 2006."
neutral,The fuel purchase contracts have been signed with three months ' delivery from this September to November .,The fuel purchase contracts were signed with three months of delivery from September to November.
neutral,Tiimari operates 194 stores in six countries -- including its core Finnish market -- and generated a turnover of 76.5 mln eur in 2005 .,Tiimari operates 194 stores in six countries - including its basic Finnish market - and generated a turnover of 76.5 mln EUR in 2005.
positive,Under this agreement Biohit becomes a focus supplier of pipettors and disposable pipettor tips to VWR customers throughout Europe .,"By virtue of this agreement, Biohit becomes a provider of pipetteurs and advice from Pipettor disposable to VWR customers across Europe."
positive,"The combination of all services enabling us to offer a complex and strengthened service chain not only limited to the Baltic port connections but also for getting access to the world wide Grimaldi Network into the Mediterranean , Africa and North America `` says Uwe Bakosch .","The combination of all services allowing us to offer a chain of complex and reinforced services not only limited to Baltic port connections, but also to have access to the Grimaldi World Network in the Mediterranean, Africa and North America, '' said Uwe Bakosch."
neutral,No blind-spots coming from 1 vantage point allows investigators to see the whole story in high resolution with no unbroken video .,No dead ends coming from 1 point of view allows investigators to see the whole story in high resolution without uninterrupted video.
positive,"The company still expects its turnover in 2010 to slightly increase from the level of 2009 , adding that `` market predictability is still too poor for trustworthy forecasts on the market development of the contract manufacturing business during the current year '' .","The company always expects its turnover in 2010 to increase slightly compared to the 2009 level, adding that the `` market predictability is still too poor for trustworthy forecasts on the development of the market 'Contract manufacturing activity during the current year' '."
positive,The acquisition will considerably increase Kemira 's sales and market position in the Russian metal industry coatings market .,The acquisition will considerably increase sales and the position of the Kemira market in the coatings of the Russian metal industry.
positive,"In January-September 2007 , Finnlines ' net sales rose to EUR 505.4 mn from EUR 473.5 mn in the corresponding period in 2006 .","In January-September 2007, finnline net sales reached 505.4 mins, compared to 473.5 minutes EUR during the corresponding period in 2006."
positive,"Adjusted for changes in the Group structure , the Division 's net sales increased by 1.7 % .","Adjusted for changes in the group structure, net sales of the division increased by 1.7%."
positive,"`` The change will optimize the operational efficiencies of our growing business , '' said Julia Prohaska , director of marketing communications for Fiskars .","`` The change will optimize the operational efficiency of our growing company '' said Julia Prohaska, director of marketing communications for Fiskars."
positive,"`` They would invest not only in the physical infrastructure , but would also provide know-how for managing and developing science and technology parks , '' said Sunrise Valley director Andrius Bagdonas .","`` They would not only invest in physical infrastructure, but would also provide knowledge to manage and develop scientific and technological parks '' said Sunrise Valley director Andrius Bagdonas."
positive,"4 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V saw its net profit jump to EUR2 .1 m for the last quarter of 2010 from EUR995 ,000 for the same period of 2009 .","February 4, 2011 - The Finnish supplier of communication systems of wide -band data Teleste Oyj Hel: TLT1V saw its net profit jump to 2.1 M euros for the last quarter of 2010 from 995,000 euros for the same period of 2009."
positive,Finnish Aktia Group 's operating profit rose to EUR 17.5 mn in the first quarter of 2010 from EUR 8.2 mn in the first quarter of 2009 .,"The operating profit of the Finnish group Aktia increased to 17.5 minutes in the first quarter of 2010, compared to 8.2 minutes in the first quarter of 2009."
positive,Finnish Bank of +_land 's consolidated net operating profit increased from EUR 4.8 mn in the first quarter of 2005 to EUR 6.4 mn in the first quarter of 2006 .,The consolidated net operating profit of the Finnish bank of + _land increased from 4.8 minutes in the first quarter from 2005 to 6.4 mins in the first quarter of 2006.
positive,"Finnish financial group Aktia reports operating profit of EUR 44.4 mn in January-September 2009 , up from EUR 37.3 mn in the corresponding period in 2008 .","The Finnish financial group Aktia reports an operating profit of 44.4 minutes in January-September 2009, against 37.3 mins at the corresponding period in 2008."
positive,"Finnish high technology provider Vaahto Group reports net sales of EUR 41.8 mn in the accounting period September 2007 - February 2008 , an increase of 11.2 % from a year earlier .","The Finnish supplier of high technology Vaahto reports net sales of 41.8 min EUR in the accounting period of September 2007 - February 2008, an increase of 11.2% compared to the previous year."
positive,Net sales of Finnish food industry company L+Ænnen Tehtaat 's continuing operations increased by 13 % in 2008 to EUR 349.1 mn from EUR 309.6 mn in 2007 .,The net sales of the Finnish company of the L + ænnen Tehtaat food industry increased by 13% in 2008 to 349.1 minutes of euros against 309.6 mins in 2007.
positive,An individual promotion also generated slightly higher-than-expected revenues .,An individual promotion has also generated slightly higher than expected income.
positive,Biohit already services many current Genesis customers and the customer base is expected to expand as a result of this agreement .,Biohit already serves many current Genesis customers and customers should develop following this agreement.
positive,"Both operating profit and turnover for the three-month period increased , respectively from EUR0 .9 m and EUR8 .3 m , as compared to the corresponding period in 2005 .","Operating profit and turnover for the three -month period increased respectively, compared to 0.9 million euros and 8.3 million euros, compared to the corresponding period in 2005."
positive,Circulation revenue has increased by 5 % in Finland and 4 % in Sweden in 2008 .,Traffic income increased by 5% in Finland and 4% in Sweden in 2008.
positive,Clothing chain Sepp+Æl+Æ 's net sales increased by 7.0 % to EUR 30.8 mn .,The Sepp + æl + æl clothing chain æ Net sales increased by 7.0% to 30.8 minutes.
positive,Construction volumes meanwhile grow at a rate of 10-15 percent annually .,Construction volumes increase at a rate of 10 to 15% per year.
positive,Finnish and Swedish construction markets are still experiencing an estimated 4 % annual growth in 2008 .,The Finnish and Swedish construction markets are still experiencing annual growth estimated at 4% in 2008.
positive,"However , Biohit estimates its total net sales will continue to grow in 2009 , and that favourable trends in net sales will lead to a profit in 2009 .","However, Biohit believes that its total net sales will continue to grow in 2009 and that favorable trends in net sales will lead to a profit in 2009."
positive,"In 2009 , Fiskars ' cash flow from operating activities amounted to EUR121m , up from EUR97m in the previous year .","In 2009, Fiskars' cash flows of operating activities amounted to 121 million euros, compared to 97 million euros the previous year."
positive,"In Lithuania , operating profit rose to EUR 190,000 from EUR 70,000 in the corresponding period in 2005 .","In Lithuania, operating profit increased to EUR 190,000 against EUR 70,000 during the corresponding period in 2005."
positive,"In the fourth quarter of 2008 , net sales increased by 2 % to EUR 1,050.7 mn from EUR 1,027.0 mn in the fourth quarter of 2007 .","In the fourth quarter of 2008, net sales increased by 2% to 1,050.7 mins, compared to 1,027.0 minutes in the fourth quarter of 2007."
