,News
551,"['marimekko', 'today', 'november', 'signed', 'license', 'agreement', 'swedish', 'chain', 'marimekko', 'license', 'popular', 'pattern', 's', 's', 's', 'hm']"
3196,"['company', 'reiterates', 'outlook']"
1654,"['service', 'intended', 'allow', 'people', 'thirteen', 'mediterranean', 'country', 'reach', 'baltic', 'rapidly', 'single', 'carrier']"
4696,"['net', 'sale', 'fell', 'previous', 'accounting', 'period']"
2846,"['change', 'asbuilt', 'model', 'design', 'communicated', 'subcontractor', 'accommodate', 'steel', 'grc', 'fabrication', 'process']"
198,"['finnish', 'office', 'supply', 'computer', 'accessory', 'dealer', 'belttongroup', 'plc', 'said', 'net', 'profit', 'rose', 'mln', 'euro', 'mln', 'mln', 'euro', 'mln']"
2460,"['finnlines', 'ship', 'construction', 'china', 'delivery', 'scheduled', 'quarter', 'final', 'quarter']"
4110,"['finnish', 'benefon', 'denies', 'claim', 'press', 'company', 'giving', 'mobile', 'handset', 'business']"
402,"['separately', 'yit', 'corporation', 'austrian', 'firm', 'e', 'ag', 'week', 'signed', 'agreement', 'sale', 'e', 's', 'building', 'service', 'business', 'germany', 'austria', 'poland', 'czech', 'republic', 'hungary', 'romania', 'eur', 'mln']"
2850,"['cohen', 'steer', 'share', 'representing', 'share', 'capital', 'voting', 'right']"
4048,"['rival', 'say', 'qualcomm', 'fewer', 'patent', 'g', 'phone', 'earlier', 'version', 'lower', 'rate']"
3209,"['company', 'disclose', 'detail', 'including', 'anticipated', 'transaction', 'timetable', 'new', 'investor', 'week']"
4621,"['finnish', 'construction', 'company', 'yit', 'reducing', 'number', 'startup', 'marketfinanced', 'residential', 'unit', 'previously', 'announced']"
4278,"['subscription', 'period', 'amer', 'sport', 'warrant', 'scheme', 'end', 'december']"
4424,"['swedbank', 's', 'share', 'hardest', 'hit', 'swedish', 'bank', 'ongoing', 'international', 'financial', 'crisis']"
4327,"['metso', 'estimate', 'need', 'personnel', 'reduction', 'people']"
650,"['adp', 'news', 'feb', 'finnish', 'computer', 'service', 'company', 'proha', 'oyj', 'hel', 'artv', 'said', 'today', 'net', 'loss', 'narrowed', 'eur', 'usd', 'eur', 'million']"
708,"['westend', 'ict', 'plc', 's', 'new', 'share', 'increase', 'share', 'capital', 'eur', 'based', 'resolution', 'extraordinary', 'shareholder', 'meeting', 'december', 'today', 'registered', 'trade', 'register']"
3000,"['kesko', 'food', 'press', 'release', 'kesko', 'food', 'launching', 'major', 'tv', 'campaign', 'recruit', 'new', 'kfood', 'retailer']"
4279,"['term', 'condition', 'stock', 'option', 'scheme', 'available', 'group', 's', 'website']"
2555,"['related', 'link', 'flexiblebaseloadoperation', 'thewartsilagenerating', 'set', 'gasconversions', 'shorter', 'version', 'press', 'release']"
3816,"['customer', 'local', 'company', 'etera', 'mutual', 'pension', 'insurance', 'principal', 'tenant', 'unit', 'medium', 'company', 'alma', 'medium', 'corp', 'hel', 'alnv']"
314,"['yit', 'say', 'acquisition', 'strategy', 'expansion', 'central', 'eastern', 'european', 'market']"
2287,"['adp', 'news', 'nov', 'finnish', 'retail', 'software', 'developer', 'aldata', 'solution', 'oyj', 'omx', 'aldv', 'said', 'today', 'swung', 'net', 'profit', 'eur', 'million', 'usd', 'm', 'month', 'versus', 'net', 'loss', 'eu']"
113,"['net', 'sale', 'rose', 'yearonyear', 'eur', 'm', 'number', 'charger', 'delivered', 'went', 'million', 'piece']"
960,"['operating', 'profit', 'improved', 'eur', 'mn', 'eur', 'mn']"
4538,"['store', 'march', 'finnish', 'stationery', 'gift', 'retailer', 'tiimari', 'hel', 'tiiv', 'said', 'yesterday', 'cut', 'total', 'job', 'unit', 'tiimari', 'retail', 'gallerix', 'finland', 'result', 'closure', 'shop']"
3153,"['square', 'metre', 'technology', 'center', 'located', 'near', 'university', 'tampere', 'central', 'tampere']"
4845,"['sale', 'finland', 'decreased', 'january', 'sale', 'outside', 'finland', 'dropped']"
3252,"['finnish', 'real', 'estate', 'investment', 'company', 'interavanti', 'oyj', 'said', 'monday', 'september', 'agreed', 'sell', 'ownership', 'finnish', 'ticket', 'service', 'company', 'lippupiste', 'oy', 'ct', 'eventim', 'ag', 'managing', 'director', 'lippupiste', 'oy']"
4084,"['transaction', 'support', 'huhtamaki', 's', 'strategic', 'review', 'rigid', 'plastic', 'consumer', 'good', 'operation', 'say', 'huhtamæki', 'oyj', 's', 'ceo', 'jukka', 'moisio']"
2373,"['finnish', 'food', 'industry', 'company', 'lænnen', 'tehtaat', 'planning', 'change', 'fish', 'product', 'business']"
3238,"['employee', 'negotiation', 'address', 'measure', 'needed', 'adjust', 'operation', 'present', 'production', 'situation']"
4392,"['copper', 'lead', 'nickel', 'dropped', 'hbos', 'hbos', 'plummeted', 'penny', 'saying', 'year\x88']"
1647,"['party', 'agreed', 'lænnen', 'tehtaat', 'right', 'sell', 'remaining', 'share', 'suomen', 'rehu', 'hankkijamaatalous', 'month', 'purchase', 'majority', 'holding', 'earliest']"
3316,"['permanent', 'magnet', 'generator', 'power', 'converter', 'today', 'preferred', 'solution', 'new', 'wind', 'turbine', 'design', 'company', 'said']"
2282,"['growth', 'strongest', 'fsecure', 's', 'operator', 'isps', 'mobile', 'operator', 'cable', 'operator', 'business']"
3822,"['device', 'contains', 'finnair', 's', 'application', 'compiling', 'customer', 'feedback', 'idea', 'product', 'development']"
3066,"['august', 'sampo', 's', 'stake', 'nordea']"
4215,"['adp', 'news', 'jan', 'finnish', 'industrial', 'machinery', 'company', 'vaahto', 'group', 'oyj', 'hel', 'wats', 'said', 'today', 'subsidiary', 'vaahto', 'cut', 'job', 'finland']"
2860,"['cramo', 'plc', 'service', 'company', 'specialising', 'construction', 'machinery', 'equipment', 'rental', 'rentalrelated', 'service', 'rental', 'sale', 'modular', 'space']"
3091,"['production', 'facility', 'july', 'finnish', 'investment', 'group', 'neomarkka', 'oyj', 'hel', 'nembv', 'said', 'today', 'buy', 'production', 'facility', 'kuitu', 'finland', 'negotiation', 'option', 'invest', 'specialty', 'cellulose', 'fiber', 'business']"
4628,"['sale', 'local', 'currency', 'decreased', 'percent', 'number', 'subscriber', 'rose', 'million', 'total', 'million', 'end', 'fourth', 'quarter', 'company', 'said']"
1204,"['currently', 'global', 'fortune', 'company', 'using', 'ssh', 'security', 'solution']"
2715,"['nordic', 'infrastructure', 'construction', 'strategic', 'growth', 'area']"
3726,"['profit', 'tax', 'totaled', 'eur', 'mn']"
3464,[]
1480,"['flex', 'small', 'price', 'pay', 'happy', 'lender']"
789,"['group', 's', 'business', 'balanced', 'broad', 'portfolio', 'sport', 'presence', 'major', 'market']"
4270,"['project', 'x', 'mw', 'coalfired', 'power', 'plant', 'located', 'km', 'south', 'hanoi', 'company', 'said']"
1872,"['tower', 's', 'engineer', 'created', 'degree', 'westward', 'lean', 'time', 'inclination', 'leaning', 'tower', 'pisa', 'using', 'diagrid', 'structure', 'aligned', 'geometrically', 'using', 'tekla', 'structure', 'bim', 'building', 'information', 'modeling', 'software']"
1362,"['company', 'delivered', 'technical', 'infrastructure', 'used', 'nav', 'data', 'warehouse', 'business', 'intelligence', 'initiative']"
871,"['sale', 'price', 'sale', 'gain', 'mln', 'euro', 'mln', 'recognized', 'incap', 's', 'earnings']"
1543,"['year', 'ict', 'sector', 's', 'share', 'electricity', 'consumption', 'raised', 'increase', 'popularity', 'smartphones']"
2242,"['segment', 'annual', 'revenue', 'approximately', 'eurm', 'company', 'said']"
73,"['result', 'share', 'issue', 'number', 'company', 's', 'share', 'increase', 'share', 'share', 'capital', 'total', 'eur']"
1592,"['ruukki', 'restructuring', 'commercial', 'industrial', 'construction', 'operation', 'pursuit', 'permanent', 'improvement', 'whilst', 'adjusting', 'operation', 'market', 'condition']"
1292,"['neste', 'oil', 'corporation', 'refining', 'operation', 'asset', 'summary', 'report', 'summary', 'neste', 'oil', 'corporation', 'refining', 'operation', 'asset', 'summary', 'report', 'essential', 'source', 'company', 'data', 'information']"
1221,"['finnish', 'consumer', 'prefer', 'buy', 'cheapest', 'beer', 'brand']"
3976,"['bring', 'new', 'committed', 'leadership', 'business', 'strategic', 'knowhow', 'company', 'buy']"
1755,"['outotec', 'oyj', 'press', 'release', 'february', 'outotec', 'won', 'large', 'mineral', 'processing', 'technology', 'order', 'mirabela', 'mineracao', 'brasil', 'ltda', 'brazil', 'cumerio', 'med', 'jsco', 'bulgaria']"
4438,"['cut', 'frequency', 'new', 'york', 'year', 'explains', 'fall', 'said']"
3607,"['g', 'engineering', 'install', 'valve', 'liquefied', 'natural', 'gas', 'lng', 'plant', 'built', 'uae', 'lng', 'extraction', 'gas', 'plant', 'operator', 'gasco', 'ruwais', 'uae']"
2423,"['capman', 'initial', 'investment', 'onemed', 'june']"
3377,"['total', 'restructuring', 'cost', 'expected', 'eur', 'mn', 'eur', 'mn', 'booked', 'december']"
2456,"['finnish', 'food', 'company', 'raisio', 'oyj', 'hel', 'raivv', 'said', 'today', 'buy', 'british', 'snack', 'confectionery', 'company', 'big', 'bear', 'group', 'plc', 'enterprise', 'value', 'eur', 'million', 'usd', 'm']"
494,"['august', 'latvijas', 'finieris', 'ordered', 'production', 'line', 'new', 'green', 'veneer', 'built', 'ukmerge', 'lithuania']"
3629,"['apriljune', 'scanfil', 's', 'net', 'sale', 'totalled', 'eur', 'mn', 'operating', 'profit', 'eur', 'mn']"
4437,"['say', 'number', 'deal', 'normalized', 'moment', 'decided', 'devalue', 'apartment', 'sale', 'added']"
1149,"['swedish', 'wallenberg', 'family', 'controlled', 'investor', 'bought', 'large', 'stake', 'c', 'share', 'swedish', 'retail', 'bank', 'seb']"
4372,"['uncertainty', 'cloud', 'longterm', 'outlook']"
3721,"['pharmaceutical', 'market', 'czech', 'republic', 'global', 'research', 'data', 'service', 'published', 'recently', 'market', 'analysis', 'pharmaceutical', 'market', 'czech', 'republic']"
1361,"['company', 'design', 'manufacture', 'highquality', 'clothing', 'interior', 'decoration', 'textile', 'bag', 'accessory']"
2072,"['finnishswedish', 'tietoenator', 'expanding', 'business', 'quickly', 'russia']"
3273,"['investment', 'eurm']"
618,"['g', 'allows', 'customer', 'use', 'mobile', 'broadband', 'service', 'speed', 'time', 'higher', 'today', 's', 'g']"
4830,"['omx', 'helsinki', 'index', 'pct', 'turnover', 'mln', 'eur']"
2989,"['product', 'portfolio', 'comprises', 'harvester', 'forwarders', 'harvester', 'head', 'crane', 'loader']"
3899,"['retail', 'chain', 'launched', 'doe', 'correspond', 'profit', 'sale', 'forecast', 'company']"
3827,"['dividend', 'come', 'eur', 'share', 'k', 'share', 'paid', 'year', 's', 'account']"
3758,"['address', 'happens', 'house', 'italian', 'megamart', 'eataly', 'meaning', 'come', 'kid', 'going', 'toy', 'building']"
4615,"['liora', 's', 'got', 'brandnew', 'bag']"
869,"['nokia', 'provide', 'indosat', 'turnkey', 'service', 'including', 'civil', 'work', 'network', 'planning', 'implementation', 'integration', 'wcdma', 'ghspa', 'network']"
2584,"['acquisition', 'price', 'disclosed']"
1042,"['headquartered', 'city', 'company', 'nearly', 'year', 'old', 'focus', 'sciencebased', 'innovation', 'technology', 'environmental', 'measurement']"
4305,"['transaction', 'herttaassa', 's', 'holding', 'alma', 'medium', 'fallen', 'flagging', 'limit']"
356,"['operating', 'profit', 'asian', 'plant', 'grew', 'markedly']"
2628,"['finlandbased', 'company', 'say', 'existing', 'squarefoot', 'facility', 'september']"
4082,"['group', 's', 'turnover', 'fiscal', 'year', 'expected', 'slight', 'increase', 'previous', 'fiscal', 'year']"
3181,"['company', 'aim', 'close', 'deal', 'end', 'year']"
3096,"['protalix', 'closed', 'friday', 'american', 'stock', 'exchange', 'giving', 'market', 'cap', 'million']"
3364,"['share', 'subscribed', 'eligible', 'trade', 'following', 'day', 'registration']"
4013,"['earnings', 'share', 'eps', 'amounted', 'loss', 'eur']"
4183,"['bertrand', 'sciard', 'vice', 'chairman', 'board', 'director', 'aldata', 'solution', 'april']"
4307,"['pm', 'eastern', 'time', 'block', 'contract', 'changed', 'hand', 'bid', 'price']"
332,"['finnish', 'metal', 'component', 'supplier', 'componenta', 'oyj', 'said', 'net', 'profit', 'went', 'mln', 'euro', 'mln', 'mln', 'euro', 'mln']"
4713,"['srv', 'lowered', 'net', 'sale', 'estimate', 'uncertainty', 'housing', 'sale']"
2968,"['indigo', 'somoncom', 'serve', 'subscriber', 'market', 'share', 'approximately']"
3477,"['pension', 'insurance', 'company', 'required', 'diversify', 'asset', 'class']"
4739,"['julyseptember', 'konecranes', 'sale', 'decreased', 'eur', 'mn', 'eur', 'mn', 'julyseptember']"
3764,"['agreement', 'includes', 'entire', 'process', 'managing', 'mercator', 's', 'supply', 'chain', 'region', 'company', 'currently', 'present']"
3372,"['technology', 'park', 'built', 'near', 'st', 'petersburgbased', 'pulkovo', 'airport']"
2348,"['report', 'capman', 'plc', 's', 'ceo', 'heikki', 'westerlund']"
3098,"['purchase', 'mp', 'snapper']"
1253,"['homeware', 'area', 'fiskars', 'provides', 'leading', 'branded', 'product', 'home', 'kitchen', 'interior', 'design']"
445,"['takoma', 'carry', 'transaction', 'acquiring', 'entire', 'share', 'capital', 'moventas', 'parkano', 'oy', 'run', 'factory', 'parkano', 'southern', 'finland']"
2135,"['expects', 'revenue', 'billion', 'billion', 'compared', 'analyst', 'estimate', 'billion']"
452,"['contract', 'signed', 'yesterday', 'run', 'year', 'includes', 'twoyear', 'extension', 'option']"
1413,"['reason', 'st', 'petersburg', 'status', 'capital', 'participant', 'meeting', 'quoted', 'chikunov', 'saying']"
2801,"['earnout', 'payment', 'mln', 'euro', 'mln', 'paid', 'depending', 'intellibis', 'financial', 'performance']"
14,"['clothing', 'retail', 'chain', 'seppælæ', 's', 'sale', 'increased', 'eur', 'mn', 'operating', 'profit', 'rose', 'eur', 'mn', 'eur', 'mn']"
4520,"['offer', 'client', 'integrated', 'management', 'consulting', 'total', 'solution', 'complex', 'project', 'efficient', 'bestinclass', 'design', 'supervision']"
945,"['earnings', 'share', 'quarter', 'higher', 'yearonyear', 'eur', 'versus', 'market', 'expectation', 'eur']"
1965,"['super', 'nasty', 'said', 'eric', 'schultze', 'chief', 'technology', 'officer', 'shavlik', 'technology', 'llc', 'st', 'paul', 'minnbased', 'maker', 'patch', 'management', 'tool']"
3053,"['ev', 'device', 'involved', 'action']"
360,"['profit', 'period', 'increased', 'eur', 'mn', 'eur', 'mn']"
4516,"['sukhraj', 'dulai', 'block', 'boni', 'sue', 'court', 'culdesac', 'city', 's', 'north', 'started', 'vehicle', 'went', 'inside', 'house', 'tuesday', 'leaving', 'garage', 'door', 'open']"
3606,"['group', 'net', 'sale', 'quarter', 'totaled', 'eur', 'mn', 'operating', 'profit', 'eur', 'mn']"
2189,"['solvay', 'sa', 'engaged', 'poyry', 'provide', 'project', 'management', 'engineering', 'procurement', 'site', 'service', 'hydrogen', 'peroxide', 'production', 'plant', 'built', 'solvaybasf', 'joint', 'venture', 'basf', 's', 'zandvliet', 'site', 'belgium']"
4384,"['triggered', 'weak', 'demand', 'forestry', 'equipment', 'uncertain', 'market', 'situation']"
3007,"['later', 'finnishmade', 'house', 'build', 'area']"
1588,"['renzo', 'piano', 's', 'building', 'design', 'wonderful', 'addition', 'london', 's', 'skyline', 'say', 'noud', 'veeger', 'evp', 'area', 'director', 'central', 'north', 'europe', 'kone']"
3959,"['tvo', 's', 'twounit', 'mw', 'olkiluoto', 'plant', 'generated', 'twh', 'operating', 'ratio', 'reactor', 'company', 'described', 'high', 'international', 'standard']"
4481,"['use', 'natural', 'fiber', 'make', 'clothes', 'comfortable', 'allow', 'skin', 'breathe', 'ecofriendly']"
4736,"['net', 'sale', 'declined', 'eur', 'million', 'eur', 'billion']"
2707,"['yesterday', 'legrand', 'issued', 'e', 'million', 'fixed', 'rate', 'deal', 'maturing']"
490,"['finnish', 'paper', 'maker', 'upmkymmene', 'corp', 'monday', 'announced', 'sale', 'wrapping', 'unit', 'walki', 'wisa', 'capman', 'investment', 'group', 'concentrate', 'core', 'business']"
862,"['adp', 'news', 'sep', 'finnish', 'security', 'privacy', 'software', 'solution', 'developer', 'stonesoft', 'oyj', 'said', 'today', 'won', 'usd', 'million', 'eur', 'm', 'order', 'deliver', 'stonegate', 'network', 'security', 'product', 'unnamed', 'russian', 'te']"
1820,"['repurchase', 'bond', 'executed', 'open', 'market', 'accordance', 'section', 'f', 'term', 'condition', 'convertible', 'bond']"
2623,"['deal', 'significant', 'effect', 'acquiring', 'company', 's', 'equity', 'ratio']"
1699,"['plant', 'belgian', 'company', 'feed', 'mw', 'electricity', 'distribution', 'grid', 'able', 'deliver', 'mw', 'heat']"
2328,"['january', 'finnish', 'technology', 'center', 'operator', 'technopolis', 'oyj', 'hel', 'tpsvsaid', 'today', 'invest', 'eur', 'm', 'construction', 'second', 'phase', 'office', 'facility', 'tampere']"
4725,"['alma', 'medium', 's', 'operating', 'profit', 'amounted', 'eur', 'mn', 'eur', 'mn', 'year', 'earlier']"
506,"['acquisition', 'suomen', 'helasto', 's', 'strategy', 'expand', 'lukkoexpert', 'security', 'chain', 'suomen', 'helasto', 'ceo', 'kimmo', 'uusimaki', 'said']"
3485,"['agreement', 'direct', 'result', 'lcc', 's', 'strategy', 'plan', 'announced', 'earlier', 'year', 'said', 'dean', 'douglas', 'lcc', 's', 'chief', 'executive', 'officer']"
2984,"['decided', 'auditor', 'reimbursed', 'according', 'invoice']"
4824,"['result', 'transaction', 'aggregate', 'holding', 'burrill', 'life', 'science', 'capital', 'fund', 'lp', 'decreased', 'cent', 'total', 'number', 'share', 'vote', 'company']"
1113,"['implementation', 'upgrade', 'existing', 'enabling', 'voicemail', 'video', 'mail', 'housed', 'platform']"
1726,"['focus', 'improving', 'profitability', 'year', 'streamlining', 'operation']"
4778,"['low', 'energy', 'consumption', 'flexible', 'loading', 'just', 'advantage', 'chf', 'pro']"
2638,"['implementation', 'deal', 'subject', 'approval', 'finnish', 'competition', 'authority']"
433,"['september', 'finnish', 'group', 'agreed', 'buy', 'danish', 'company', 'rose', 'poultry', 'eur', 'm', 'combination', 'cash', 'stock']"
3243,"['exercise', 'price', 'option', 'based', 'safran', 'software', 'solution', 'license', 'maintenance', 'sale', 'result', 'company']"
4369,"['finnish', 'industrial', 'group', 'ruukki', 'group', 'brought', 'counter', 'action', 'finnish', 'metal', 'company', 'rautaruukki', 'dispute', 'concerning', 'name', 'company']"
2692,"['release', 'offer', 'security', 'sale', 'united', 'state']"
3617,"['etteplan', 'reported', 'turnover', 'eur', 'm']"
2856,"['country', 'finland', 'sector', 'constructionreal', 'estate', 'target', 'pohjolan', 'designtalo', 'oy', 'buyer', 'capman', 'oyj', 'vendor', 'ruukki', 'group', 'oyj', 'deal', 'size', 'usd', 'm', 'type', 'divestment', 'status', 'agreed']"
3262,"['group', 'reiterated', 'forecast', 'handset', 'manufacturer', 'sell', 'mln', 'unit', 'year', 'globally']"
4118,"['initial', 'estimated', 'total', 'value', 'contract', 'euro', 'excluding', 'vat']"
2767,"['additionally', 'information', 'business', 'segment', 'competitor', 'future', 'outlook', 'provided']"
1102,"['ore', 'body', 'sufficient', 'support', 'anticipated', 'production', 'year']"
2699,"['change', 'envisaged', 'hk', 'ruokatalo', 'reduce', 'number', 'industrial', 'place', 'business', 'finland']"
3638,"['autumn', 'plan', 'expand', 'service', 'st', 'petersburg', 'moscow', 'launch', 'service', 'yekaterinburg', 'russia', 'flying', 'time', 'week']"
156,"['lemminkæinen', 's', 'profit', 'accounting', 'period', 'went', 'eur', 'mn', 'eur', 'mn', 'year', 'ago']"
4638,"['finnair', 's', 'tallinnbased', 'subsidiary', 'aero', 'carried', 'passenger', 'decline', 'route', 'helsinki', 'baltic', 'capital', 'southern', 'finland']"
4649,"['finnish', 'bank', 'land', 'report', 'operating', 'profit', 'eur', 'mn', 'quarter', 'eur', 'mn', 'corresponding', 'period']"
4034,"['operating', 'loss', 'totaled', 'eur', 'mn', 'compared', 'profit', 'eur', 'mn', 'corresponding', 'period']"
643,"['finnish', 'fiber', 'plastic', 'product', 'maker', 'suominen', 'corporation', 'said', 'net', 'loss', 'continuing', 'operation', 'narrowed', 'mln', 'euro', 'mln', 'mln', 'euro', 'mln']"
2810,"['result', 'company', 'temporarily', 'layoff', 'personnel', 'approximately', 'person', 'kirkkonummi', 'nivala', 'factory']"
1068,"['potential', 'client', 'include', 'public', 'administration', 'organization', 'investing', 'utility', 'network', 'service']"
3116,"['schwalm', 'outoteccom', 'eila', 'paatela', 'vice', 'president', 'corporate', 'communication', 'tel', 'mobile', 'email', 'eila']"
2512,"['dividend', 'grimaldi', 'family']"
4111,"['split', 'number', 'k', 'share', 'number', 'share']"
1618,"['company', 's', 'advantage', 'pricing', 'seen', 'significantly', 'lower', 'price', 'offered', 'new', 'unmanned', 'station']"
330,"['export', 'grew', 'percent', 'million', 'liter']"
1330,"['sp', 'kept', 'sell', 'rating', 'nordea', 'ubs', 'reaffirmed', 'buy', 'recommendation']"
4239,"['adjustment', 'concern', 'staff', 'specialty', 'paper', 'fiber', 'composite', 'segment']"
2092,"['efficiency', 'program', 'totalling', 'million', 'euro', 'way', 'finnair']"
622,"['cdp', 'established', 'initiative', 'institutional', 'investor', 'annually', 'published', 'result', 'increasing', 'number', 'customer', 'group', 'reporting', 'company']"
4617,"['omx', 'helsinki', 'ended', 'pct', 'lower', 'omx', 'helsinki', 'pct', 'bln', 'eur', 'turnover']"
4732,"['group', 'ebit', 'half', 'eur', 'm', 'm', 'falling', 'short', 'eur', 'm', 'posted', 'period']"
2753,"['local', 'government', 'commissioner', 'ml', 'kurt', 'svensson', 'say', 'contact', 'management', 'finnish', 'company', 'componenta', 'alternative', 'company', 's', 'decision', 'close', 'plant', 'ml']"
4301,"['agreement', 'expired', 'earlier', 'month']"
2157,"['net', 'profit', 'mln', 'compared', 'mln']"
2575,"['suomen', 'paikallissanomat', 'oy', 'alma', 'medium', 'group', 'currently', 'publishes', 'local', 'newspaper', 'finland']"
755,"['time', 'sale', 'development', 'russia', 'boosted', 'opening', 'stockmann', 'nevsky', 'centre', 'st', 'petersburg']"
518,"['equipment', 'expand', 'container', 'handling', 'capacity', 'namibia', 's', 'main', 'port', 'walvis', 'bay', 'west', 'coast']"
3601,"['fortum', 'considering', 'taking', 'nuclear', 'energy', 'project', 'outside', 'finland']"
32,"['lithuanian', 'beer', 'market', 'million', 'liter', 'january', 'rise', 'percent', 'yearearlier', 'figure', 'lithuanian', 'brewer', 'association', 'reporting', 'citing', 'result', 'member']"
2787,"['alexandria', 'va', 'jan', 'united', 'state', 'patent', 'issued', 'jan', 'assigned', 'kemira', 'chemical', 'marietta', 'ga']"
1157,"['according', 'company', 'staff', 'laid', 'temporarily', 'necessary']"
744,"['share', 'purchase', 'completed', 'financing', 'provided', 'expand', 'latvia', 's', 'broadband', 'infrastructure', 'develop', 'new', 'area', 'business', 'including', 'acquisition', 'company']"
